"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8ZNIHTWY","journalArticle","2000","Riebesell, Ulf; Zondervan, Ingrid; Rost, Björn; Tortell, Philippe D.; Zeebe, Richard E.; Morel, François MM","Reduced calcification of marine plankton in response to increased atmospheric CO 2","Nature","","","","","","2000","2020-06-20 09:11:28","2020-06-20 09:11:28","","364–367","","6802","407","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group","","/Users/janosh/Library/Zotero/storage/N5RHZEME/Riebesell et al. - 2000 - Reduced calcification of marine plankton in respon.pdf; /Users/janosh/Library/Zotero/storage/UXM36NI3/35030078.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBK56Y2F","book","2005","Raven, John; Caldeira, Ken; Elderfield, Harry; Hoegh-Guldberg, Ove; Liss, Peter; Riebesell, Ulf; Shepherd, John; Turley, Carol; Watson, Andrew","Ocean acidification due to increasing atmospheric carbon dioxide","","","","","","","2005","2020-06-20 09:11:28","2020-06-20 09:11:28","","","","","","","","","","","","","The Royal Society","","","","","","","Google Scholar","","","","/Users/janosh/Library/Zotero/storage/2QPYMJEA/Raven et al. - 2005 - Ocean acidification due to increasing atmospheric .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CWRN5IA","journalArticle","2007","Riebesell, Ulf; Schulz, Kai G.; Bellerby, R. G. J.; Botros, Mona; Fritsche, Peter; Meyerhöfer, Michael; Neill, C.; Nondal, G.; Oschlies, Andreas; Wohlers, Julia","Enhanced biological carbon consumption in a high CO 2 ocean","Nature","","","","","","2007","2020-06-20 09:11:28","2020-06-20 09:11:28","","545–548","","7169","450","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group","","/Users/janosh/Library/Zotero/storage/JXBIUITR/Riebesell et al. - 2007 - Enhanced biological carbon consumption in a high C.pdf; /Users/janosh/Library/Zotero/storage/2ZVHP3MD/nature06267.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5D9JNNP","journalArticle","2005","De Baar, Hein JW; Boyd, Philip W.; Coale, Kenneth H.; Landry, Michael R.; Tsuda, Atsushi; Assmy, Philipp; Bakker, Dorothee CE; Bozec, Yann; Barber, Richard T.; Brzezinski, Mark A.","Synthesis of iron fertilization experiments: from the iron age in the age of enlightenment","Journal of Geophysical Research: Oceans","","","","","","2005","2020-06-20 09:11:28","2020-06-20 09:11:28","","","","C9","110","","","Synthesis of iron fertilization experiments","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/2VK9JT9B/(ISSN)2169-9291.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R47742LG","journalArticle","2017","Thompson, Luke R.; Sanders, Jon G.; McDonald, Daniel; Amir, Amnon; Ladau, Joshua; Locey, Kenneth J.; Prill, Robert J.; Tripathi, Anupriya; Gibbons, Sean M.; Ackermann, Gail","A communal catalogue reveals Earth’s multiscale microbial diversity","Nature","","","","","","2017","2020-06-20 09:11:28","2020-06-20 09:11:28","","457–463","","7681","551","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group","","/Users/janosh/Library/Zotero/storage/WTP3LVM5/nature24621.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GH3KSE8V","journalArticle","1993","Riebesell, Ulf; Wolf-Gladrow, D. A.; Smetacek, Victor","Carbon dioxide limitation of marine phytoplankton growth rates","Nature","","","","","","1993","2020-06-20 09:11:28","2020-06-20 09:11:28","","249–251","","6409","361","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJCZ9QAC","book","2011","Riebesell, Ulf; Fabry, Victoria J.; Hansson, Lina; Gattuso, Jean-Pierre","Guide to best practices for ocean acidification research and data reporting","","","","","","","2011","2020-06-20 09:11:28","2020-06-20 09:11:28","","","","","","","","","","","","","Office for Official Publications of the European Communities","","","","","","","Google Scholar","","","","/Users/janosh/Library/Zotero/storage/UJFPJBQF/Riebesell et al. - 2011 - Guide to best practices for ocean acidification re.pdf; /Users/janosh/Library/Zotero/storage/LIXVYZY6/8471.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K6YTMYUV","journalArticle","2012","Lohbeck, Kai T.; Riebesell, Ulf; Reusch, Thorsten BH","Adaptive evolution of a key phytoplankton species to ocean acidification","Nature Geoscience","","","","","","2012","2020-06-20 09:11:28","2020-06-20 09:11:28","","346–351","","5","5","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group","","/Users/janosh/Library/Zotero/storage/4VYLIAE7/Lohbeck et al. - 2012 - Adaptive evolution of a key phytoplankton species .pdf; /Users/janosh/Library/Zotero/storage/XR5CL8WD/ngeo1441.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKV56J4Z","journalArticle","2003","Rost, Björn; Riebesell, Ulf; Burkhardt, Steffen; Sültemeyer, Dieter","Carbon acquisition of bloom-forming marine phytoplankton","Limnology and oceanography","","","","","","2003","2020-06-20 09:11:28","2020-06-20 09:11:28","","55–67","","1","48","","","","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/FZDV4YJE/lo.2003.48.1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEIWDYVG","journalArticle","2006","Langer, Gerald; Geisen, Markus; Baumann, Karl-Heinz; Kläs, Jessica; Riebesell, Ulf; Thoms, Silke; Young, Jeremy R.","Species-specific responses of calcifying algae to changing seawater carbonate chemistry","Geochemistry, geophysics, geosystems","","","","","","2006","2020-06-20 09:11:28","2020-06-20 09:11:28","","","","9","7","","","","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/JYP6L6FD/2005GC001227.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XGPB6QP","journalArticle","2004","Riebesell, Ulf","Effects of CO 2 enrichment on marine phytoplankton","Journal of Oceanography","","","","","","2004","2020-06-20 09:11:28","2020-06-20 09:11:28","","719–729","","4","60","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","/Users/janosh/Library/Zotero/storage/8WL72A4J/Riebesell - 2004 - Effects of CO 2 enrichment on marine phytoplankton.pdf; /Users/janosh/Library/Zotero/storage/FVRK98II/s10872-004-5764-z.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZ56BKM4","journalArticle","2001","Zondervan, Ingrid; Zeebe, Richard E.; Rost, Björn; Riebesell, Ulf","Decreasing marine biogenic calcification: A negative feedback on rising atmospheric pCO2","Global Biogeochemical Cycles","","","","","","2001","2020-06-20 09:11:28","2020-06-20 09:11:28","","507–516","","2","15","","","Decreasing marine biogenic calcification","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/8KTAX7KG/2000GB001321.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
